title,likes,category
Marvel's The Avengers,2100000,Action
The Dark Knight Rises,4917252,Action
The Hunger Games,17208379,Action
Skyfall,2969956,Action
The Hobbit: An Unexpected Journey,4880197,Action
The Twilight Saga: Breaking Dawn Part 2,15408196,Drama
The Amazing Spider-Man,8660408,Action
Brave,8,3296683,Family
Ted,25922,Comedy
Madagascar 3: Europe's Most Wanted,13340617,Family
Dr. Seuss' The Lorax,2549017,Family
Wreck-It Ralph,2724899,Family
Lincoln,408909,Drama
MIB 3,101,070,Action
Django Unchained,1917284,Action
Ice Age: Continental Drift,56333,Family
Snow White and the Huntsman,2592485,Action
Les Miserables (2012),1735118,Drama
Hotel Transylvania,5494809,Family
Taken 2,76882,Action
21 Jump Street,2546270,Action
Argo,396538,Drama
Silver Linings Playbook,261577,Comedy
Prometheus,804758,Sci-fi
Safe House,491792,Action
The Vow,3792357,Drama
Life of Pi,1047179,Drama
Magic Mike,1326969,Comedy
The Bourne Legacy,7073,Action
Journey 2: The Mysterious Island,691496,Family
Rise of the Guardians,2207563,Family
Zero Dark Thirty,249184,Action
Flight,318844,Drama
Think Like a Man,3975539,Comedy
The Campaign,303358,Comedy
The Expendables 2,1596144,
Wrath of the Titans,877318,Action
Jack Reacher,221062,Action
Dark Shadows,2250200,Comedy
Parental Guidance,39183,Comedy
John Carter,762938,Sci-fi
Act of Valor,424879,Action
This Is 40,102817,Comedy
Contraband,735372,Action
Looper,551444,Sci-fi
Tyler Perry's Madea's Witness Protection,1528322,Comedy
Battleship,1973614,Sci-fi
Pitch Perfect,2657500,Comedy
Mirror Mirror,218590,Comedy
Chronicle (2012),850366,Horror
Hope Springs,210701,Drama
Underworld Awakening,101881,Action
The Lucky One,2404832,Drama
The Dictator,1260637,Comedy
Total Recall (2012),592390,Sci-fi
Titanic 3D,50508444,Drama
American Reunion,130816,Comedy
ParaNorman,561008,Family
This Means War,235502,Action
Project X,1486869,Undetermined
The Woman in Black,1957049,Horror
Paranormal Activity 4,20375683,Horror
The Devil Inside,1315991,Horror
The Odd Life of Timothy Green,530934,Family
Ghost Rider: Spirit of Vengeance,7580907,Action
The Grey,290107,Action
Red Tails,43015,Action
The Possession,767895,Horror
Diary of a Wimpy Kid: Dog Days,27637,Family
Sinister,653373,Horror
Beauty and the Beast (3D),12180509,Family
Savages (2012),205940,Horror
The Best Exotic Marigold Hotel
Moonrise Kingdom,300408,Comedy
Here Comes the Boom,736873,Comedy
Red Dawn (2012),382171,Action
The Three Stooges,847487,Comedy
Star Wars: Episode I - The Phantom Menace (in 3D),158515,Sci-fi
Resident Evil: Retribution,56816,Horror
The Cabin in the Woods,541239,Horror
What to Expect When You're Expecting,328246,Comedy
Finding Nemo (3D),19675395,Family
End of Watch,315336,Action
Rock of Ages,453189,Comedy
Abraham Lincoln: Vampire Hunter,370731,Action
Lawless,64358,Action
The Guilt Trip,70643,Comedy
That's My Boy,970000,Comedy
Trouble with the Curve,158315,Drama
The Watch,0,Undetermined
Frankenweenie,1655324,Family
Step Up Revolution,321709,Drama
Tyler Perry's Good Deeds,853011,Drama
Monsters Inc. (3D),14467659,Family
2016 Obama's America,297395,Documentary
House at the End of The Street,353735,Horror
The Pirates! Band of Misfits,27556,Family
Joyful Noise,281552,Documentary
Chimpanzee,27800,Documentary
The Five-Year Engagement,148284,Comedy
